pubDate,loanRate6Month,loanRate6MonthTo1Year,loanRate1YearTo3Year,loanRate3YearTo5Year,loanRateAbove5Year,mortgateRateBelow5Year,mortgateRateAbove5Year
1990-04-15,,,,,,,
1990-08-21,,,,,,,
1991-04-21,8.100000,8.640000,9.000000,9.540000,9.720000,,
1993-05-15,8.820000,9.360000,10.800000,12.060000,12.240000,,
1993-07-11,9.000000,10.980000,12.240000,13.860000,14.040000,,
1995-01-01,9.000000,10.980000,12.960000,14.580000,14.760000,,
1995-07-01,10.080000,12.060000,13.500000,15.120000,15.300000,,
1996-05-01,9.720000,10.980000,13.140000,14.940000,15.120000,,
1996-08-23,9.180000,10.080000,10.980000,11.700000,12.420000,,
1997-10-23,7.650000,8.640000,9.360000,9.900000,10.530000,,
1998-03-25,7.020000,7.920000,9.000000,9.720000,10.350000,,
1998-07-01,6.570000,6.930000,7.110000,7.650000,8.010000,,
1998-12-07,6.120000,6.390000,6.660000,7.200000,7.560000,,
1999-06-10,5.580000,5.850000,5.940000,6.030000,6.210000,,
2002-02-21,5.040000,5.310000,5.490000,5.580000,5.760000,,
2004-10-29,5.220000,5.580000,5.760000,5.850000,6.120000,3.780000,4.230000
2006-04-28,5.400000,5.850000,6.030000,6.120000,6.390000,,
2006-08-19,5.580000,6.120000,6.300000,6.480000,6.840000,,
2007-03-18,5.670000,6.390000,6.570000,6.750000,7.110000,4.320000,4.770000
2007-05-19,5.850000,6.570000,6.750000,6.930000,7.200000,4.410000,4.860000
2007-07-21,6.030000,6.840000,7.020000,7.200000,7.380000,4.500000,4.950000
2007-08-22,6.210000,7.020000,7.200000,7.380000,7.560000,4.590000,5.040000
2007-09-15,6.480000,7.290000,7.470000,7.650000,7.830000,4.770000,5.220000
2007-12-21,6.570000,7.470000,7.560000,7.740000,7.830000,4.770000,5.220000
2008-09-16,6.210000,7.200000,7.290000,7.560000,7.740000,4.590000,5.130000
2008-10-09,6.120000,6.930000,7.020000,7.290000,7.470000,4.320000,4.860000
2008-10-15,,,,,,,
2008-10-30,6.030000,6.660000,6.750000,7.020000,7.200000,4.050000,4.590000
2008-11-27,5.040000,5.580000,5.670000,5.940000,6.120000,3.510000,4.050000
2008-12-23,4.860000,5.310000,5.400000,5.760000,5.940000,3.330000,3.870000
2010-10-20,5.100000,5.560000,5.600000,5.960000,6.140000,3.500000,4.050000
2010-12-26,5.350000,5.810000,5.850000,6.220000,6.400000,3.750000,4.300000
2011-02-09,5.600000,6.060000,6.100000,6.450000,6.600000,4.000000,4.500000
2011-04-06,5.850000,6.310000,6.400000,6.650000,6.800000,4.200000,4.700000
2011-07-07,6.100000,6.560000,6.650000,6.900000,7.050000,4.450000,4.900000
2012-06-08,5.850000,6.310000,6.400000,6.650000,6.800000,4.200000,4.700000
2012-07-06,5.600000,6.000000,6.150000,6.400000,6.550000,4.000000,4.500000
2014-11-22,5.600000,5.600000,6.000000,6.000000,6.150000,3.750000,4.250000
2015-03-01,5.350000,5.350000,5.750000,5.750000,5.900000,3.500000,4.000000
2015-05-11,5.100000,5.100000,5.500000,5.500000,5.650000,3.250000,3.750000
2015-06-28,4.850000,4.850000,5.250000,5.250000,5.400000,3.000000,3.500000
2015-08-26,4.600000,4.600000,5.000000,5.000000,5.150000,2.750000,3.250000
2015-10-24,4.350000,4.350000,4.750000,4.750000,4.900000,2.750000,3.250000
